,PlayerID,Player_Name,Age,Height,MaxRank,Hand,Country,First_Serve_%,First_Serve_Win_%,win_count,lose_count,Win%
128,105163,Gleb Sakharov,29.7138945927,,159.0,R,FRA,0.6666666666666666,0.6470588235294118,1.0,3.0,0.33
129,104810,Zhe Li,32.9691991786,185.0,210.0,R,CHN,,,6.0,13.0,0.46
130,106058,Jack Sock,25.2895277207,185.0,8.0,R,USA,0.6046511627906976,0.8846153846153846,172.0,137.0,1.26
131,105341,Thomas Fabbiano,28.3148528405,,70.0,R,ITA,0.5238095238095238,0.7878787878787878,27.0,62.0,0.44
132,106186,Jason Kubler,25.273100616,,98.0,R,AUS,0.6341463414634146,0.7115384615384616,3.0,8.0,0.38
133,117360,Marc Polmans,23.446954141,,116.0,R,AUS,0.6507936507936508,0.7073170731707317,5.0,14.0,0.36
134,106071,Bernard Tomic,23.2224503765,193.0,17.0,R,AUS,0.6410256410256411,0.92,186.0,185.0,1.01
135,104386,Janko Tipsarevic,34.5626283368,180.0,,R,SRB,0.6160714285714286,0.855072463768116,289.0,261.0,1.11
136,106426,Cristian Garin,25.3470225873,185.0,17.0,R,CHI,0.5789473684210527,0.8181818181818182,82.0,70.0,1.17
137,105062,Mikhail Kukushkin,31.3210130048,183.0,40.0,R,KAZ,0.5892857142857143,0.8484848484848485,171.0,223.0,0.77
138,105806,Mirza Basic,26.6858316222,188.0,75.0,R,BIH,0.6818181818181818,0.5777777777777777,32.0,37.0,0.86
139,104999,Mischa Zverev,29.9411362081,190.0,26.0,L,GER,0.7281553398058253,0.7333333333333333,134.0,200.0,0.67
140,105643,Federico Delbonis,25.6125941136,190.0,33.0,L,ARG,0.5606060606060606,0.7567567567567568,154.0,177.0,0.87
141,103852,Feliciano Lopez,33.4647501711,188.0,12.0,L,ESP,0.5855855855855856,0.7384615384615385,509.0,477.0,1.07
142,106228,Juan Ignacio Londero,26.46954141,,50.0,R,ARG,0.5263157894736842,0.8166666666666667,31.0,45.0,0.69
143,106398,Pedro Cachin,21.0184804928,,242.0,R,ARG,0.61,0.7049180327868853,3.0,4.0,0.75
144,105561,Alessandro Giannessi,27.2470910335,183.0,91.0,L,ITA,0.51875,0.7951807228915663,13.0,21.0,0.62
145,132283,Lorenzo Sonego,26.4010951403,191.0,21.0,R,ITA,0.6097560975609756,0.76,67.0,68.0,0.99
146,105487,Facundo Bagnis,26.8665297741,183.0,55.0,L,ARG,0.6237623762376238,0.8571428571428571,30.0,59.0,0.51
147,104122,Carlos Berlocq,29.1225188227,183.0,37.0,R,ARG,0.5694444444444444,0.7317073170731707,136.0,194.0,0.7
148,205734,Thiago Seyboth Wild,20.476386037,,113.0,R,BRA,0.5783132530120482,0.7916666666666666,8.0,13.0,0.62
149,106198,Hugo Dellien,26.5954825462,180.0,73.0,R,BOL,0.6197183098591549,0.7045454545454546,25.0,36.0,0.69
150,105413,Andrej Martin,30.3901437372,180.0,93.0,R,SVK,0.6666666666666666,0.7647058823529411,27.0,37.0,0.73
151,104571,Marcos Baghdatis,21.1772758385,183.0,8.0,R,CYP,0.5733333333333334,0.7674418604651163,350.0,274.0,1.28
152,105074,Ruben Bemelmans,29.7741273101,183.0,84.0,L,BEL,0.5604395604395604,0.7843137254901961,30.0,61.0,0.49
153,104629,Adrian Menendez Maceiras,29.7056810404,,114.0,R,ESP,0.45714285714285713,0.71875,6.0,18.0,0.33
154,104897,Matthias Bachinger,24.4079397673,188.0,86.0,R,GER,0.5906040268456376,0.6136363636363636,31.0,55.0,0.56
